,ID,H,LAT,LON,Error_H(km),Error_LAT(km),Error_LON(km),xEast,yNorth,zUp
0,0.0,,,,,,,,,
1,1.0,,,,,,,,,
2,2.0,,,,,,,,,
3,3.0,,,,,,,,,
4,4.0,49.256798294134036,0.0009108766445154969,-145.70374247353863,0.7432017058659639,0.2977290137416779,0.027742125086513445,306.1698882126693,28.52873617165197,743.2281669867734
5,5.0,50.08794038482246,0.007887903205263787,-145.17756119715372,0.0879403848224598,0.4053988501822776,0.23933926975710645,417.08618758199566,246.23936301200663,87.87476349703
6,6.0,,,,,,,,,
7,7.0,49.887541797769515,0.005012376677472119,-144.1242445640759,0.11245820223048497,0.5918379348992328,0.1522043179017902,608.8319001405761,156.57486937517464,112.56875856863294
8,8.0,50.1228749255412,0.017552411733379313,-143.58545810192322,0.12287492554119694,0.3172763061414388,0.5324905185836072,326.4295068118388,547.8527152239866,122.76116514552595
9,9.0,50.05675930101328,0.034035564476674926,-143.05842622683298,0.05675930101327964,0.3991834633191383,1.0323452586637651,410.68438329805815,1062.0886290357882,56.39658074740532
10,10.0,49.69223222231613,0.025143821623690204,-142.51961322339844,0.3077677776838712,0.12381701397051892,0.7627481476017067,127.35835293533519,784.5641018450497,307.94453426553366
11,11.0,,,,,,,,,
12,12.0,,,,,,,,,
13,13.0,,,,,,,,,
14,14.0,,,,,,,,,
15,15.0,,,,,,,,,
16,16.0,,,,,,,,,
17,17.0,,,,,,,,,
18,18.0,,,,,,,,,
19,19.0,,,,,,,,,
20,20.0,,,,,,,,,
21,21.0,,,,,,,,,
22,22.0,,,,,,,,,
23,23.0,,,,,,,,,
24,24.0,,,,,,,,,
25,25.0,,,,,,,,,
26,26.0,49.62622584833202,0.013106744796644096,-134.0436833691736,0.37377415166798045,0.11742320742251831,0.3981984991491405,120.77722202014927,409.57304959771136,373.8251684691236
27,27.0,,,,,,,,,
28,28.0,,,,,,,,,
29,29.0,,,,,,,,,
30,30.0,,,,,,,,,
31,31.0,,,,,,,,,
32,32.0,,,,,,,,,
33,33.0,,,,,,,,,
34,34.0,,,,,,,,,
35,35.0,49.717186703262776,-0.01655974405519058,-129.2347693203758,0.2828132967372241,1.1356300818676095,0.5011462513557732,1168.1269758027981,515.4861664507721,283.2694077499414
36,36.0,50.98732887807773,-0.013369910396455279,-128.78330071188418,0.987328878077733,1.2376084875739424,0.4043894841767717,1273.9283353583698,416.256233273205,986.8267039759747
37,37.0,51.9186118986414,-0.0015862090298556693,-128.23444206981048,1.9186118986414016,0.6576246175358302,0.047037854993418414,677.27635504333,48.44262886253824,1918.4830646688638
38,38.0,51.14016227073591,-0.007828324736356421,-127.6973671305388,1.1401622707359067,0.43499242020819523,0.236289393599304,447.79636148125326,243.24366324657635,1140.0896725627488
39,39.0,51.02574916834776,0.0028192893184264883,-127.15350543755665,1.0257491683477582,0.006532788525180391,0.08661226191540149,6.724650167161599,89.15688408255092,1025.7469334187767
40,40.0,52.528480639164236,0.013429360886562665,-126.62045613122837,2.5284806391642363,0.094059053732071,0.40837550345172413,96.90282861046285,420.72323657018694,2528.428570764703
41,41.0,50.778218452064785,0.004034884361208098,-126.09426669594947,0.7782184520647846,0.013393701056893755,0.12353382307237552,13.7851527781026,127.14524430897045,778.2138787785946
42,42.0,49.988991533191616,-0.006964203224607168,-125.56670905698991,0.011008466808384298,0.07932761283451485,0.209965040787789,81.61004996470487,216.005239524555,11.023382108619767
43,43.0,50.056308259504775,-0.009086804202569337,-125.04136303948832,0.05630825950477458,0.21235562043819553,0.2743294140531782,218.47380432203255,282.23215219261783,56.27262608962659
44,44.0,50.0384147406511,-0.019662730951313562,-124.51028004895659,0.038414740651099066,0.1713890611251639,0.5949966235650611,176.32518313963266,612.1319557456592,38.3012269940313
45,45.0,50.21960709003937,-0.010271245397235168,-123.98167998272356,0.21960709003936785,0.20571308539793504,0.3101849927549802,211.6592253519561,319.14987255206773,219.56606986759715
46,46.0,49.721361979021985,-0.002183280612811709,-123.44930465319518,0.2786380209780148,0.125588801173075,0.06490047902830284,129.18293372024706,66.75676678935709,278.6439368710247
47,47.0,50.245801263843035,-0.029028864730595988,-122.89932596845034,0.2458012638430347,0.4883585152726542,0.8789182102224332,502.48182674907844,904.3355087731088,245.50190008409993
48,48.0,50.53101650252732,-0.02984655552312875,-122.37840139271488,0.5310165025273221,0.22125757961431605,0.9036830113125804,227.6926640295701,929.9648333273269,530.7601501727202
49,49.0,49.604798673031524,0.004560859739536985,-121.86130977928195,0.39520132696847554,0.1620412917561208,0.13966509888646186,166.6677590735942,143.65380015756952,395.2148731663863
50,50.0,49.944597765713,-0.045577167496747235,-121.31246979446821,0.055402234287001306,0.41737682765077877,1.3806575472245115,429.37491362612997,1420.3456863848498,56.01816147371225
51,51.0,49.74230686383885,-0.014802502529995048,-120.8019004374789,0.2576931361611514,0.1637290347659687,0.44743627390146407,168.41664251009945,460.2453610042319,257.7603359082501
52,52.0,49.96216979328212,-0.01685893299271285,-120.2785490657628,0.03783020671787796,0.35721106214511206,0.5097638120949277,367.4833124061068,524.4218384428565,37.94491863858619
53,53.0,50.42361279642886,0.008639682698150934,-119.76844205439721,0.42361279642886274,0.9523367929264693,0.2634699701802754,979.975884142953,271.117711722986,423.323658010523
54,54.0,51.93692212346151,0.020246312763732066,-119.21085667239308,1.9369221234615068,0.10772892991726671,0.6154218809023612,110.94931490912961,633.8201633180856,1936.8064280207423
